Sales,Month,AgeInMonths,ProfileInMonths,Subscribed,NumPrevOrders,AvgSpend,POSR,OPR,Online,Discount,ShippingOption,Platform,Payment,Ad_1,Ad_2,Ad_3,SocialMedia,ShippingPayment,Category,DayOfWeek,Province
917.91,September,380,39,Weekly,38,553.26,2.3,0.72,26,0,Premium,Computer,Credit Card,No,No,Yes,,Free,electronics,Saturday,GP
1403.22,October,348,9,,15,1649.53,6.6,0.57,28,0,Express,iOS,Credit Card,Yes,No,Yes,Instagram,Free,household,Sunday,GP
586.71,April,418,48,Weekly,59,307.15,3.1,0.73,81,0,Express,iOS,Credit Card,No,No,Yes,,Free,electronics,Saturday,MP
1142,February,538,27,,37,780.33,4.9,0.6,33,0,Express,Computer,Credit Card,No,Yes,No,,Free,clothing,Saturday,NW
872.02,October,378,37,,36,628.47,1.1,0.9,63,0,Premium,Computer,Credit Card,Yes,Yes,Yes,Facebook,Free,electronics,Tuesday,NW
897.86,September,458,20,Weekly,8,904.05,1.2,0.51,38,40,Standard,iOS,Credit Card,Yes,No,Yes,Facebook,Free,household,Saturday,NW
1122.51,May,527,0,,0,769.8,4.2,0,40,0,Express,Computer,Account Credit,Yes,No,Yes,Twitter,Free,clothing,Thursday,GP
683.03,December,545,46,Daily,45,648.18,7.9,0.95,32,27,Standard,Computer,Credit Card,Yes,No,No,Facebook,Free,clothing,Thursday,WC
670.71,November,388,32,,27,402.82,0.1,0.72,73,10,Standard,Android,EFT,Yes,No,No,Facebook,Free,electronics,Thursday,GP
756.85,May,436,23,,22,538.52,0.8,0.93,29,0,Standard,Computer,Credit Card,Yes,No,Yes,Twitter,Free,clothing,Thursday,GP
562.95,November,423,54,,48,727.04,1.9,0.54,45,0,Express,Computer,Credit Card,No,No,Yes,,Free,books,Monday,WC
734.82,August,430,24,,26,443.61,7.5,0.84,35,0,Premium,iOS,Account Credit,No,Yes,No,,Free,groceries,Wednesday,WC
1006.26,February,327,11,,7,722.31,1.7,0.73,67,18,Express,Computer,EFT,No,No,No,,Free,books,Sunday,WC
835.56,September,445,29,,23,729.79,5.1,0.54,33,0,Premium,Computer,PayPal,Yes,Yes,No,Facebook,Free,clothing,Monday,MP
883.73,November,433,13,,13,610.62,2.5,0.67,30,0,Express,Android,Credit Card,No,Yes,Yes,,Free,clothing,Wednesday,MP
886.21,January,392,38,Monthly,30,806.85,4.8,0.64,36,0,Standard,iOS,Credit Card,Yes,Yes,No,Instagram,Free,books,Friday,GP
787.99,October,518,14,,14,786.06,2.9,0.59,64,0,Standard,iOS,Credit Card,No,No,Yes,,Free,household,Sunday,LP
733.9,March,406,24,,32,524.66,4.1,0.89,29,0,Express,Android,EFT,Yes,No,Yes,Twitter,Free,groceries,Monday,WC
906.52,December,467,59,,56,584.29,4.7,0.69,86,0,Standard,Computer,Credit Card,No,Yes,Yes,,Free,groceries,Sunday,MP
890.8,November,445,40,,29,690.73,0.4,0.91,29,0,Express,Computer,EFT,Yes,No,Yes,Facebook,Free,electronics,Wednesday,WC
889.17,October,478,25,,33,567.88,6,0.75,37,0,Express,Computer,EFT,No,Yes,Yes,,Free,clothing,Saturday,GP
847.11,May,391,56,,51,787.94,5,0.69,51,0,Premium,Computer,Credit Card,Yes,Yes,No,Twitter,Free,clothing,Sunday,LP
1332.09,May,507,0,,0,751.04,3.8,0,77,0,Premium,Computer,Credit Card,No,Yes,Yes,,Free,groceries,Saturday,KZN
1372.41,May,345,54,,58,806.85,7.1,0.52,36,9,Standard,Computer,EFT,No,Yes,Yes,,Free,household,Saturday,FS
1070.68,April,338,12,,11,807.26,1.2,0.69,71,0,Standard,Android,EFT,No,No,Yes,,Free,groceries,Monday,GP
886.38,December,434,50,,45,596.16,4.5,0.58,38,0,Premium,Android,Credit Card,Yes,No,Yes,Twitter,Free,groceries,Friday,NC
648.22,July,446,19,,8,566.18,3.3,0.89,60,0,Express,Computer,Credit Card,No,No,Yes,,Free,electronics,Wednesday,WC
1852.29,October,535,24,,27,1015.98,5.2,0.87,39,0,Standard,iOS,PayPal,Yes,Yes,No,Facebook,Free,electronics,Monday,WC
1087.31,June,531,5,,7,594.8,4.5,0.61,52,0,Express,Computer,EFT,No,No,Yes,,Free,groceries,Monday,WC
614.77,May,380,22,,33,505.77,5.8,0.9,26,0,Express,Computer,EFT,No,No,Yes,,Free,groceries,Tuesday,GP
908.06,October,378,24,,28,615.29,5,0.7,68,0,Premium,Computer,EFT,No,Yes,No,,Free,electronics,Thursday,NC
587.69,May,361,3,Weekly,14,341.99,2.8,0.79,54,0,Express,Android,Credit Card,No,No,No,,Free,clothing,Tuesday,MP
836.49,December,435,0,,0,580.86,1.9,0,37,0,Standard,Computer,Credit Card,No,No,Yes,,Free,clothing,Sunday,NW
704.73,November,432,34,,24,511.4,0.1,0.67,96,0,Express,Computer,Credit Card,No,No,Yes,,Free,electronics,Thursday,FS
1246.6,October,514,27,,24,705.65,2.6,0.56,61,21,Standard,Computer,Credit Card,Yes,No,Yes,Twitter,Free,electronics,Wednesday,LP
2068.74,October,527,49,,51,1183.23,7.4,0.62,41,0,Standard,Computer,Credit Card,No,Yes,Yes,,Free,electronics,Tuesday,MP
754.58,November,414,36,,24,444.82,4.5,0.74,56,11,Premium,Computer,Credit Card,No,Yes,No,,Free,electronics,Thursday,WC
1060.93,February,489,18,,16,889.71,5.1,0.5,47,0,Standard,Computer,Credit Card,Yes,No,Yes,Facebook,Free,groceries,Monday,FS
888.59,December,477,30,,23,482.24,2.7,0.56,30,11,Express,Computer,Credit Card,Yes,No,Yes,Facebook,Free,electronics,Tuesday,FS
852.21,January,489,18,Daily,14,507.36,4,0.67,29,0,Express,Computer,PayPal,Yes,No,No,Facebook,Free,books,Friday,WC
860.43,September,457,5,,9,664.81,5.6,0.65,27,0,Express,Android,EFT,Yes,No,Yes,Instagram,Free,household,Friday,GP
2326.43,April,570,0,,0,1574.54,6.2,0,41,0,Express,Computer,EFT,No,Yes,Yes,,Free,electronics,Thursday,NC
756.58,December,384,0,,0,635.31,3.6,0,32,0,Express,Computer,Credit Card,No,No,Yes,,Free,books,Thursday,GP
844.33,November,441,23,,28,974.6,5.2,0.57,43,0,Premium,Computer,Credit Card,Yes,Yes,No,Facebook,Free,groceries,Monday,GP
991.15,August,357,31,Daily,23,548.48,4.5,0.6,82,0,Express,Computer,Credit Card,No,No,Yes,,Free,electronics,Friday,GP
626.76,April,496,44,,53,535.65,6.7,0.89,68,0,Standard,Computer,Credit Card,Yes,No,No,Twitter,Free,electronics,Monday,FS
2937.41,July,556,61,Daily,54,1858.12,5.3,0.86,71,12,Express,Android,Credit Card,Yes,Yes,Yes,Facebook,Free,electronics,Friday,GP
943.81,November,387,14,,15,558.28,3.3,0.88,46,0,Express,Computer,Credit Card,Yes,No,Yes,Instagram,Free,electronics,Tuesday,NW
957.1,August,441,45,,49,878.97,4.5,0.55,45,0,Premium,Computer,EFT,No,Yes,Yes,,Free,electronics,Tuesday,FS
1572.03,October,331,15,,13,1147.87,1.9,0.97,27,0,Standard,Computer,EFT,Yes,No,Yes,Instagram,Free,electronics,Thursday,GP
881.53,July,517,22,,20,471.75,2.3,0.67,44,0,Premium,Computer,Credit Card,No,No,Yes,,Free,groceries,Monday,MP
1314.87,March,548,54,,56,1088.02,0.6,0.52,21,32,Standard,iOS,EFT,Yes,No,Yes,Facebook,Free,groceries,Monday,KZN
671.72,October,498,57,Weekly,59,380.77,2.4,0.7,87,0,Premium,Computer,Credit Card,Yes,Yes,No,Twitter,Free,electronics,Tuesday,MP
628.32,July,426,36,,25,444.3,4,0.74,61,0,Premium,Computer,EFT,No,No,Yes,,Free,household,Saturday,MP
981.15,December,459,52,Weekly,56,622.05,1.1,0.62,37,0,Standard,Android,Credit Card,Yes,No,Yes,Facebook,Free,clothing,Tuesday,MP
1993.02,August,574,0,,0,1065.18,4.7,0,53,0,Express,Computer,EFT,No,Yes,No,,Free,electronics,Monday,NW
652.12,May,454,14,Weekly,8,563.8,3.8,0.93,38,0,Express,Computer,Credit Card,No,No,Yes,,Free,clothing,Tuesday,GP
841.3,November,383,25,,20,664.67,4.7,0.98,34,37,Standard,Computer,EFT,Yes,No,Yes,Twitter,Free,clothing,Thursday,NC
1669.03,December,561,25,,30,1128.91,7.4,0.66,65,0,Premium,Computer,Credit Card,No,Yes,No,,Free,electronics,Monday,MP
833.72,December,413,33,,33,594.99,7.1,0.97,46,0,Express,Computer,Credit Card,No,Yes,No,,Free,clothing,Tuesday,MP
962.44,April,385,36,Monthly,29,573.78,5.2,0.5,44,0,Express,Computer,Credit Card,No,No,Yes,,Free,household,Saturday,GP
1048.79,September,411,22,Daily,36,696.66,4.7,0.64,37,0,Standard,Computer,Account Credit,Yes,Yes,Yes,Facebook,Free,electronics,Monday,MP
1594.33,October,376,14,,11,1034.52,6.6,0.94,45,0,Premium,Computer,Credit Card,Yes,Yes,Yes,Facebook,Free,electronics,Monday,KZN
568.28,December,483,27,,33,375.8,1.2,0.9,72,0,Standard,Android,Credit Card,Yes,No,No,Facebook,Free,books,Tuesday,WC
653.79,February,370,12,,7,404.51,7.4,0.9,33,0,Standard,Computer,Credit Card,No,No,Yes,,Free,groceries,Thursday,WC
625.05,June,461,34,,22,874.25,3.8,0.65,71,0,Standard,Computer,EFT,No,No,Yes,,Free,clothing,Monday,EC
698.5,June,430,23,,31,473.78,7.8,0.7,91,0,Standard,Computer,Credit Card,No,No,Yes,,Free,household,Friday,KZN
1033.16,December,447,16,,11,594.87,5.7,0.87,41,0,Premium,Computer,Credit Card,Yes,No,Yes,Twitter,Free,household,Friday,KZN
758.64,November,419,10,,10,621.13,5,0.64,62,38,Standard,Computer,Account Credit,Yes,No,Yes,Instagram,Free,electronics,Wednesday,FS
1234.16,June,535,27,,24,927.28,5.5,0.7,48,32,Standard,iOS,EFT,No,Yes,Yes,,Free,clothing,Saturday,GP
1187.12,May,491,12,Daily,15,849.87,7,0.85,34,0,Standard,Android,Credit Card,No,Yes,Yes,,Free,household,Friday,WC
720.88,March,396,21,,34,415.01,6.4,0.53,51,0,Standard,Computer,Credit Card,No,No,Yes,,Free,groceries,Monday,NW
783.34,June,448,10,,7,661.03,7.6,0.94,61,0,Standard,iOS,Account Credit,Yes,Yes,No,Twitter,Free,clothing,Saturday,WC
536.47,September,434,38,,27,457.15,0.4,0.72,60,0,Standard,Computer,Credit Card,No,No,No,,Paid,books,Saturday,NC
1095.1,January,523,26,,20,646.86,2.6,0.89,67,0,Express,iOS,Credit Card,Yes,Yes,Yes,Instagram,Free,electronics,Wednesday,WC
742.02,February,410,24,,34,833.04,6.4,0.61,22,0,Premium,Computer,PayPal,No,No,Yes,,Free,books,Friday,GP
898.29,April,492,10,,9,656.71,5.5,0.64,54,28,Standard,iOS,EFT,No,Yes,No,,Free,electronics,Monday,MP
1085.87,March,403,30,,25,694.34,6.2,0.61,45,0,Standard,Computer,Credit Card,No,Yes,Yes,,Free,electronics,Thursday,MP
781.13,June,451,42,,54,960.45,3.5,0.76,62,0,Standard,Computer,Credit Card,Yes,Yes,No,Twitter,Free,clothing,Friday,GP
888.43,February,453,8,,9,641.06,4.5,0.96,72,0,Premium,Computer,EFT,No,Yes,Yes,,Free,clothing,Sunday,GP
1457.57,November,555,0,,0,900.28,4.2,0,76,42,Standard,Computer,Credit Card,No,Yes,Yes,,Free,books,Saturday,NW
908.52,November,511,10,,8,497.28,7.9,0.91,33,0,Express,Computer,Credit Card,Yes,Yes,No,Facebook,Free,electronics,Thursday,KZN
802.9,September,460,49,,45,461.23,0.5,0.62,26,0,Express,Computer,Credit Card,No,Yes,Yes,,Free,groceries,Monday,KZN
985.57,December,463,33,,30,612.99,6.5,0.68,47,0,Premium,Computer,Credit Card,No,Yes,Yes,,Free,electronics,Sunday,KZN
851.48,October,428,61,Weekly,52,474.44,1.4,0.51,39,0,Express,Computer,Credit Card,No,Yes,No,,Free,clothing,Friday,WC
1232.33,February,486,9,,15,781.15,7.9,0.88,31,0,Express,Computer,Credit Card,No,Yes,No,,Free,household,Sunday,NC
804.32,August,477,0,,0,543.25,3.4,0,36,0,Premium,Computer,Credit Card,No,No,Yes,,Free,groceries,Monday,KZN
1253.35,December,554,70,,48,965.06,3.7,0.92,48,0,Premium,Android,Credit Card,No,No,Yes,,Free,electronics,Wednesday,FS
994.72,December,475,31,,28,610.08,4.8,0.77,60,0,Premium,Android,Credit Card,Yes,Yes,Yes,Instagram,Free,books,Saturday,GP
868.94,August,398,29,Weekly,24,640.93,3.3,0.53,51,42,Standard,Computer,PayPal,Yes,No,Yes,Instagram,Free,electronics,Thursday,KZN
858.74,February,377,34,,19,616.2,7.2,0.8,40,39,Standard,iOS,Credit Card,Yes,No,Yes,Facebook,Free,household,Sunday,GP
1484.35,January,542,31,,32,1026.04,7.4,0.61,32,0,Express,Computer,EFT,Yes,Yes,No,Facebook,Free,electronics,Saturday,NC
689.14,November,416,50,Weekly,37,613.99,2.7,0.89,61,0,Premium,Android,Account Credit,No,Yes,No,,Free,electronics,Saturday,WC
720.71,April,532,26,,23,650.62,0.2,0.98,53,0,Express,Android,EFT,Yes,No,No,Instagram,Free,electronics,Friday,GP
687.43,October,455,22,,26,561.14,5,0.73,24,12,Express,iOS,Account Credit,No,No,Yes,,Free,household,Friday,MP
1428.34,December,548,71,Daily,40,1098.58,5,0.5,29,0,Standard,Computer,Credit Card,Yes,No,Yes,Twitter,Free,clothing,Tuesday,WC
845.14,January,458,35,,29,688.66,1.9,0.76,46,0,Standard,Computer,Credit Card,No,Yes,Yes,,Free,household,Sunday,NC
940.04,September,384,30,,27,678.89,6.5,0.65,42,43,Standard,Computer,Credit Card,No,Yes,Yes,,Free,electronics,Monday,FS
640.63,April,500,19,Daily,9,416.62,6.5,0.6,62,0,Express,Computer,Credit Card,No,No,No,,Free,household,Saturday,KZN
829.82,April,400,62,,59,526.36,3.4,0.95,73,0,Premium,Computer,Credit Card,Yes,No,Yes,Twitter,Free,groceries,Monday,GP
1019.27,March,532,0,,0,1427.74,2.1,0,46,0,Express,Computer,Account Credit,No,No,No,,Free,groceries,Monday,WC
751.84,April,454,30,,22,516.5,6.7,0.73,72,0,Express,Computer,Credit Card,No,Yes,Yes,,Free,electronics,Monday,WC
809.95,October,459,3,,12,649.56,4.2,0.56,35,0,Express,iOS,Credit Card,No,Yes,No,,Free,groceries,Sunday,WC
785.74,August,359,41,,46,517.19,5.6,0.51,68,0,Standard,Computer,Credit Card,No,Yes,No,,Free,books,Friday,KZN
956,March,515,47,Weekly,45,917.92,1.3,0.73,59,36,Express,Computer,Credit Card,No,Yes,Yes,,Free,electronics,Thursday,MP
1072,November,448,31,Monthly,38,626.51,3.8,0.72,23,26,Standard,Computer,Credit Card,Yes,Yes,Yes,Facebook,Free,clothing,Monday,EC
841.37,October,470,18,Monthly,13,738.51,5.8,0.54,37,0,Standard,Computer,EFT,No,Yes,No,,Free,groceries,Sunday,GP
744.23,June,367,28,,27,461.42,4.6,0.82,47,0,Premium,Computer,Credit Card,No,Yes,No,,Free,household,Friday,NW
697.23,July,486,41,Weekly,59,565.64,1.5,0.51,50,0,Express,Computer,Credit Card,Yes,No,No,Facebook,Free,books,Saturday,WC
1511.91,September,562,25,,31,1092.95,6.8,0.53,39,0,Express,iOS,EFT,Yes,Yes,No,Facebook,Free,clothing,Friday,WC
881.17,October,438,55,Daily,41,499.72,7.5,0.92,52,0,Standard,Computer,Credit Card,Yes,Yes,No,Twitter,Free,electronics,Wednesday,KZN
863.25,November,354,8,,5,818.33,0.1,0.57,53,0,Express,iOS,EFT,No,Yes,No,,Free,groceries,Monday,MP
1243.53,December,395,25,Daily,25,986.22,4,0.79,32,0,Premium,Computer,Credit Card,Yes,Yes,Yes,Twitter,Free,electronics,Monday,MP
895.24,November,551,22,,33,561.91,2,0.54,66,0,Standard,iOS,Credit Card,Yes,No,No,Twitter,Free,electronics,Wednesday,NW
1293.95,September,532,1,Weekly,8,1063.96,3.4,0.57,44,0,Standard,Computer,Credit Card,Yes,No,Yes,Instagram,Free,electronics,Saturday,WC
854.28,November,363,15,,10,1126.05,1,0.66,71,0,Premium,Android,Credit Card,No,Yes,Yes,,Free,clothing,Tuesday,WC
831.22,August,491,13,Weekly,12,791.16,1.2,1,27,0,Standard,Computer,EFT,Yes,No,Yes,Facebook,Free,electronics,Thursday,GP
859.46,July,444,60,Daily,46,772.01,7.2,0.77,76,14,Standard,Computer,Credit Card,Yes,Yes,No,Instagram,Free,books,Friday,GP
746.51,November,392,6,,12,711.83,5.6,0.54,43,0,Premium,Computer,Credit Card,No,Yes,No,,Free,books,Saturday,NW
1094.51,November,443,29,,26,706.27,5.4,0.63,36,0,Premium,Computer,Credit Card,No,Yes,Yes,,Free,groceries,Sunday,WC
960.2,December,450,26,,31,798.19,6,0.88,54,0,Standard,Computer,Credit Card,No,Yes,Yes,,Free,electronics,Wednesday,WC
840.51,August,458,48,Monthly,49,500.05,6,0.69,71,0,Standard,Computer,Credit Card,Yes,No,Yes,Facebook,Free,electronics,Sunday,GP
841.8,December,491,7,,7,487.62,7.2,0.62,34,0,Standard,Computer,EFT,No,No,Yes,,Free,electronics,Saturday,WC
804.89,July,479,52,Daily,40,730.45,6.5,0.55,60,29,Standard,Android,Credit Card,Yes,Yes,No,Facebook,Free,electronics,Sunday,NW
960.55,September,470,34,,28,595.75,2,0.56,33,0,Premium,iOS,EFT,No,Yes,Yes,,Free,groceries,Monday,LP
660.58,October,326,16,,10,499.55,0.2,0.85,34,0,Express,Computer,Credit Card,Yes,No,No,Instagram,Free,electronics,Sunday,GP
698.04,October,429,18,,11,558.51,0.8,0.92,30,30,Standard,Computer,Credit Card,Yes,No,Yes,Twitter,Free,electronics,Saturday,NW
713.99,January,498,27,,24,562.25,3.5,0.5,56,0,Premium,Computer,Credit Card,Yes,Yes,No,Twitter,Free,groceries,Friday,NC
800.94,July,389,43,,53,551.91,6,0.6,56,0,Express,Computer,Credit Card,No,Yes,No,,Free,groceries,Monday,WC
703.87,May,416,56,Daily,48,464.08,4.1,0.68,32,0,Standard,iOS,EFT,Yes,Yes,No,Twitter,Free,clothing,Friday,GP
1117.2,May,561,6,,9,790.4,1.5,0.51,50,28,Standard,Computer,Credit Card,No,Yes,No,,Free,clothing,Sunday,NW
674.55,October,476,28,,30,643.22,4.3,0.94,29,0,Express,Computer,EFT,Yes,Yes,No,Instagram,Free,clothing,Wednesday,NC
1015.77,September,363,18,,11,767.1,3.9,0.54,62,0,Standard,Android,EFT,Yes,No,Yes,Instagram,Free,clothing,Thursday,MP
1573.11,February,372,26,Weekly,41,1092.77,1.6,0.57,32,0,Express,Computer,Credit Card,No,Yes,Yes,,Free,clothing,Saturday,WC
656.75,August,485,21,,28,599.1,2.1,0.58,32,0,Standard,Computer,Credit Card,Yes,No,No,Facebook,Free,groceries,Monday,NW
887.93,January,513,36,,39,574.16,2.3,0.59,44,0,Premium,iOS,EFT,No,No,Yes,,Free,electronics,Friday,WC
810.58,December,382,25,,35,515.69,1.6,0.54,33,0,Standard,Computer,EFT,Yes,No,Yes,Facebook,Free,household,Saturday,GP
694.94,October,395,42,,52,511.79,4.8,0.53,42,0,Standard,Computer,Credit Card,No,No,Yes,,Free,electronics,Sunday,GP
644.42,November,450,49,Weekly,42,509.74,2.3,0.85,43,0,Express,Computer,Credit Card,No,No,Yes,,Free,groceries,Sunday,KZN
1234.95,December,365,44,Monthly,46,732.09,5.3,0.9,20,0,Express,Computer,Credit Card,No,No,Yes,,Free,books,Sunday,WC
741.67,November,455,24,,28,611.03,7.1,0.72,49,0,Premium,Computer,Credit Card,No,No,Yes,,Free,household,Friday,KZN
823.76,May,444,37,,35,722.34,6.1,0.55,36,0,Express,iOS,Credit Card,Yes,Yes,No,Facebook,Free,clothing,Sunday,GP
529.95,December,412,9,,13,440.58,0.7,0.87,47,0,Standard,Computer,Credit Card,No,No,No,,Paid,books,Thursday,EC
1301.88,November,315,0,,0,865.13,4.4,0,52,0,Standard,Computer,Credit Card,No,No,Yes,,Free,books,Friday,WC
1281.71,October,435,17,,13,1233.86,7.3,0.5,33,0,Standard,Computer,Credit Card,No,Yes,Yes,,Free,clothing,Friday,GP
700.04,June,476,26,,23,450.62,6.6,0.6,47,0,Premium,Computer,Credit Card,Yes,Yes,No,Facebook,Free,clothing,Friday,MP
1258.68,July,453,27,Weekly,25,1165.26,2.5,0.64,78,0,Express,Computer,Credit Card,Yes,Yes,Yes,Instagram,Free,books,Friday,MP
643.04,November,480,19,,11,579.23,3.2,0.62,29,0,Express,Computer,Credit Card,No,No,Yes,,Free,groceries,Saturday,GP
1551.11,July,520,28,,24,937.23,5.1,0.56,61,0,Express,Computer,EFT,Yes,Yes,Yes,Instagram,Free,groceries,Wednesday,KZN
751.11,July,427,39,,27,505.82,6,0.79,68,40,Standard,Computer,Credit Card,Yes,No,Yes,Facebook,Free,groceries,Friday,NC
1001.39,September,356,35,,24,704.06,0.7,0.73,30,0,Standard,Computer,EFT,Yes,No,Yes,Instagram,Free,groceries,Monday,WC
956.84,November,520,22,,28,1009.11,1.6,0.95,55,32,Standard,Computer,EFT,No,Yes,Yes,,Free,electronics,Sunday,WC
969.26,January,500,27,Daily,32,838.05,4.1,0.84,31,19,Express,Computer,Credit Card,No,Yes,Yes,,Free,electronics,Wednesday,WC
1823.27,November,546,23,Monthly,29,975.96,4.2,0.79,58,0,Standard,iOS,Credit Card,No,Yes,Yes,,Free,electronics,Sunday,NW
613.95,October,429,4,,16,514.06,6.7,0.5,54,0,Express,iOS,Credit Card,No,No,No,,Free,clothing,Wednesday,WC
1359.49,December,404,32,,28,1011.98,5.2,0.6,46,0,Express,Computer,EFT,No,Yes,Yes,,Free,groceries,Sunday,KZN
2746.94,November,567,0,,0,1488.73,6.4,0,50,0,Standard,Computer,Credit Card,No,Yes,Yes,,Free,electronics,Tuesday,WC
1809.84,January,554,0,,0,1107.07,4.7,0,34,0,Standard,Android,EFT,Yes,No,Yes,Facebook,Free,electronics,Sunday,GP
1399.32,May,481,23,,32,951.52,6.1,0.84,38,38,Premium,Computer,Credit Card,Yes,Yes,Yes,Instagram,Free,clothing,Saturday,KZN
818.9,June,421,20,Weekly,6,473.39,2.1,0.74,47,0,Express,Computer,Credit Card,No,Yes,Yes,,Free,clothing,Monday,WC
800.23,July,486,11,,9,721.36,0.3,0.6,52,0,Express,Computer,Credit Card,No,No,Yes,,Free,electronics,Tuesday,KZN
856.78,September,472,65,Daily,56,538.56,5.5,0.53,58,19,Express,Android,Credit Card,Yes,No,Yes,Twitter,Free,electronics,Saturday,NW
1520.68,May,306,36,,38,846.97,4.5,0.73,52,0,Premium,Computer,Credit Card,No,Yes,No,,Free,clothing,Wednesday,NW
502.41,October,452,47,,48,582.59,3.9,0.93,43,0,Express,Computer,EFT,Yes,No,No,Facebook,Paid,books,Monday,KZN
1883.83,April,576,36,,23,1018.57,6.2,0.95,42,0,Express,Computer,EFT,No,Yes,Yes,,Free,electronics,Saturday,FS
776.71,September,394,21,Monthly,24,760.49,5.4,0.65,86,0,Express,iOS,EFT,No,No,Yes,,Free,clothing,Thursday,NW
1348.75,December,382,26,Daily,24,818.83,7.2,0.68,31,0,Express,iOS,EFT,No,Yes,Yes,,Free,books,Sunday,NC
826.83,September,470,33,,32,720.51,6.6,0.76,75,0,Express,iOS,Credit Card,No,Yes,Yes,,Free,clothing,Saturday,GP
1566.15,November,343,0,,0,873.74,6.6,0,75,0,Premium,iOS,Credit Card,No,Yes,No,,Free,clothing,Wednesday,NW
839.6,September,360,15,,23,626.89,3.6,0.84,71,0,Standard,iOS,EFT,No,No,Yes,,Free,groceries,Sunday,GP
1345.49,December,341,37,,27,955.44,4.3,0.53,49,11,Express,Computer,PayPal,No,Yes,No,,Free,clothing,Thursday,NC
797.18,March,399,49,,56,610.02,7.8,0.93,36,0,Premium,Computer,Credit Card,No,Yes,No,,Free,household,Wednesday,WC
963.86,December,533,33,,37,521.57,2.8,0.96,55,0,Premium,Computer,Account Credit,Yes,No,Yes,Facebook,Free,electronics,Monday,KZN
1140.07,February,362,28,,29,960.78,3.2,0.76,56,0,Express,Computer,Credit Card,Yes,No,Yes,Twitter,Free,groceries,Monday,GP
1380.99,December,347,3,,5,776.06,7,0.64,49,0,Standard,Computer,Credit Card,No,Yes,Yes,,Free,groceries,Sunday,WC
856.24,February,446,12,,6,497.99,2.2,0.7,55,0,Standard,Computer,Credit Card,No,Yes,Yes,,Free,clothing,Thursday,NW
853.08,May,362,26,,33,719.94,6.9,0.86,63,0,Express,Computer,EFT,No,No,Yes,,Free,clothing,Monday,EC
1274.61,March,510,0,,0,820.92,4.4,0,56,0,Standard,Android,Credit Card,No,Yes,Yes,,Free,electronics,Tuesday,GP
933.46,May,409,0,,0,728.63,7.8,0,42,0,Express,Computer,EFT,No,Yes,Yes,,Free,clothing,Sunday,NC
516.29,September,416,12,,19,524.64,0.1,0.81,33,0,Standard,Computer,Credit Card,No,No,No,,Paid,books,Sunday,NW
633.91,April,418,18,,8,575.5,1.9,1,31,0,Premium,Computer,Credit Card,No,Yes,No,,Free,electronics,Friday,EC
704.81,December,412,71,Weekly,51,476.69,2.8,0.62,43,0,Premium,iOS,Credit Card,No,No,Yes,,Free,books,Sunday,NW
889.8,December,405,34,Monthly,27,658.87,5.2,0.66,52,0,Standard,Computer,Credit Card,No,Yes,Yes,,Free,clothing,Tuesday,MP
1013.84,November,418,26,,27,783.89,7,0.81,39,21,Standard,Computer,Credit Card,No,Yes,Yes,,Free,books,Friday,MP
836.6,September,350,20,,7,527.18,0,0.68,31,0,Express,iOS,Credit Card,No,No,Yes,,Free,electronics,Monday,WC
660.56,July,500,46,Daily,52,475.56,7,0.68,71,0,Express,iOS,Credit Card,No,No,No,,Free,books,Friday,FS
701.33,December,439,33,,21,504.37,6.4,1,86,0,Express,Computer,Credit Card,Yes,Yes,No,Instagram,Free,electronics,Thursday,GP
934.79,April,358,26,,24,540.74,4.4,0.66,20,0,Premium,iOS,Credit Card,No,No,Yes,,Free,household,Friday,FS
1879.83,October,533,0,,0,1209.18,4.9,0,62,0,Express,Computer,EFT,No,Yes,No,,Free,electronics,Thursday,NW
832.69,January,435,27,,32,793.98,7.7,0.5,28,0,Standard,Computer,Credit Card,Yes,No,Yes,Twitter,Free,electronics,Saturday,WC
709.56,November,361,61,,40,773.13,1.3,0.96,40,0,Express,iOS,EFT,No,No,Yes,,Free,clothing,Tuesday,WC
922.28,February,430,46,,43,704.59,2.7,0.61,78,32,Express,Computer,Credit Card,Yes,No,Yes,Twitter,Free,clothing,Tuesday,NW
1239.06,May,433,11,,9,849.21,6.2,0.55,32,0,Premium,iOS,Account Credit,Yes,Yes,Yes,Twitter,Free,clothing,Thursday,GP
754.82,September,394,32,,33,744.44,3.4,0.87,24,0,Standard,iOS,Credit Card,No,No,Yes,,Free,household,Saturday,EC
1688.02,April,575,0,,0,1267.51,2,0,56,0,Premium,Computer,Credit Card,No,No,Yes,,Free,electronics,Tuesday,FS
1396.07,March,384,20,,9,1117.59,4.8,0.72,49,0,Premium,iOS,Credit Card,Yes,Yes,Yes,Instagram,Free,household,Friday,MP
1019.16,December,360,37,,40,651.31,0.2,0.66,27,0,Express,Computer,EFT,No,No,Yes,,Free,clothing,Saturday,WC
643.91,November,359,23,,28,469.46,0.5,0.96,44,0,Express,iOS,Credit Card,Yes,No,No,Facebook,Free,clothing,Tuesday,WC
956.83,April,391,4,,16,521.02,4.1,0.93,56,0,Express,Computer,EFT,No,Yes,Yes,,Free,groceries,Monday,WC
1116.59,October,533,18,,9,738.48,2.9,0.65,65,0,Express,Computer,Credit Card,Yes,No,Yes,Facebook,Free,electronics,Sunday,MP
